Space Room,,,,,,,,Notes on how to cut cost
,Contractor Construction,,,,,,,
,,Demolition,,,,,,
,,,Bathroom,,,,,
,,,,Sink,,,,
,,,,,2 x Man Hours,$25.00 ,,
,,,,,TOTAL,$25.00 ,,
,,,,Toilet,,,,
,,,,,2 x Man Hours,$25.00 ,,
,,,,,TOTAL,$25.00 ,,
,,,,Walls,,,,
,,,,,4 x Man Hours,$50.00 ,,
,,,,,TOTAL,$50.00 ,,
,,,,Plug Drains,,,,
,,,,,1 x Man Hours,$12.50 ,,
,,,,,TOTAL,$12.50 ,,
,,,,TOTAL,$112.50 ,,,
,,,Platform,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,Remove Ceiling Tiles,,,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$12.50 ,,,
,,,N95 Respirator Mask,$5.87 ,,,,
,,TOTAL,$155.87 ,,,,,
,,Teleport Door,,,,,,Do we need this? Customers won't ever use this theyselves and will only see the game master use it once. Removing this removes $2500 from the budget. Maybe we could find another way to give the impression of teleportation.
,,,Cut Hole,,,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$12.50 ,,,
,,,Secure Door,,,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$12.50 ,,,
,,,Frame in Door,,,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$37.50 ,,,
,,,Dark Room Door,"$2,575.00 ",,,,
,,,TOTAL,"$2,637.50 ",,,,
,,Paint Walls,,,,,,
,,,9 in. x 3/8 in. High-Density Polyester Knit Paint Roller Cover (3-Pack),$9.34 ,,,,
,,,2 x 9 in. Deep Well Plastic Paint Roller Tray,$6.96 ,,,,
,,,2 in. Shortcut Polyester Angle Sash Brush,$5.87 ,,,,
,,,5 x Pencil Sketch Flat Bher Paint,$139.90 ,,,,
,,,8 x Man Hours,$100.00 ,,,,
,,,TOTAL,$262.07 ,,,,
,,Circit Breakers,,,,,,We might be able to get away without this. Maybe we try to build the room without adding ciruict breakers. Then run a test and only add circuit breakers if we need them.
,,,Guesstimation of Circuit Breakers,$500.00 ,,,,
,,,40 x Man Hours,$500.00 ,,,,
,,,TOTAL,"$1,000.00 ",,,,
,,Wire Outlets,,,,,,
,,,4 x Outlet,$39.96 ,,,,
,,,452 Red WING-NUT Wire Connectors (100-Pack),$11.52 ,,,,
,,,3 x 250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,$211.41 ,,,,
,,,4 x 1-Gang 14 cu. in. Old Work PVC Electrical Box,$4.04 ,,,,
,,,20 x Man Hours,$250.00 ,,,,
,,,TOTAL,$516.93 ,,,,
,,Desk,,,,,,
,,,Base,,,,,
,,,,15 x 2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$41.10 ,,,
,,,,3 x 1/2 4 ft. x 8 ft. Oriented Strand Board,$52.65 ,,,
,,,,8 x Man Hours,$100.00 ,,,
,,,,TOTAL,$193.75 ,,,
,,,Electrical,,,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$12.50 ,,,
,,,Top,,,,,
,,,,6 x 1/2 4 ft. x 8 ft. Oriented Strand Board,$105.30 ,,,
,,,,5 x Man Hours,$62.50 ,,,
,,,,TOTAL,$167.80 ,,,
,,,Top,,,,,
,,,,6 x 1/2 4 ft. x 8 ft. Oriented Strand Board,$105.30 ,,,
,,,,5 x Man Hours,$62.50 ,,,
,,,,TOTAL,$167.80 ,,,
,,,Paint,,,,,
,,,,Ultra Pure White Eggshell Behr Paint,$29.98 ,,,
,,,,5 x Man Hours,$62.50 ,,,
,,,,TOTAL,$92.48 ,,,
,,,Cover with Plexiglass,,,,,This we thought would make the desk look cooler and more durable (we're thinking of just painting over plywoood) but we might be able to get by without out it. 
,,,,#8 1-5/8 in. Lath Sharp Point Screw 1 lb.-Box (125-Pack),$5.96 ,,,
,,,,4 x 48 in. x 96 in. x 1/8 in. Clear Acrylic Sheet,$472.00 ,,,
,,,,5 x Man Hours,$62.50 ,,,
,,,,TOTAL,$540.46 ,,,
,,,TOTAL,"$1,082.31 ",,,,
,,Warp Drive Room,,,,,,
,,,Cover Floors,,,,,
,,,,1/2 4 ft. x 8 ft. Oriented Strand Board,$17.55 ,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$42.55 ,,,
,,,Drive Platform,,,,,
,,,,4 x 2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$10.96 ,,,
,,,,2-3/8 in. x 100 ft. Original Composite Corner Bead in a Roll SO-100S,$21.98 ,,,
,,,,2 x 1/2 4 ft. x 8 ft. Oriented Strand Board,$35.10 ,,,
,,,,3 x UltraLight 1/2 in. x 4 ft. x 8 ft. Gypsum Board,$36.99 ,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,$155.03 ,,,
,,,Glass Walls,,,,,
,,,,80 x Guesstimation of Glass Walls Per Square foot,"$6,000.00 ",,,
,,,,15 x Man Hours,$187.50 ,,,
,,,,TOTAL,"$6,187.50 ",,,
,,,Sliding Door,,,,,
,,,,Autoslide Automatic Patio Door Starter Kit,$430.00 ,,,
,,,,30 x Guesstimation of Glass Walls Per Square foot,"$2,250.00 ",,,
,,,,10 x Man Hours,$125.00 ,,,
,,,,TOTAL,"$2,805.00 ",,,
,,,TOTAL,"$9,190.08 ",,,,
,,Power Supply,,,,,,
,,,6 x 2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$16.44 ,,,,
,,,3 x 1/2 4 ft. x 8 ft. Oriented Strand Board,$52.65 ,,,,
,,,5 x Man Hours,$62.50 ,,,,
,,,TOTAL,$131.59 ,,,,
,,TOTAL,"$14,820.48 ",,,,,
,Building/Instilation,,,,,,,
,,Lasers,,,,,,
,,,10 x Man Hours,$125.00 ,,,,
,,,TOTAL,$125.00 ,,,,
,,Floor,,,,,,
,,,462 x Smooth Flex Tiles,"$1,704.78 ",,,,
