Bill of Materials
count,name,individual cost,total cost,website
1,N95 Respirator Mask, $ 5.87, $ 5.87, Home Depot
5,Pencil Sketch Flat Bher Paint, $ 27.98, $ 139.90, https://www.homedepot.com/p/BEHR-Premium-Plus-1-gal-N500-4-Pencil-Sketch-Flat-Low-Odor-Interior-Paint-and-Primer-in-One-140001/205281869
2,9 in. Deep Well Plastic Paint Roller Tray, $ 3.48, $ 6.96, https://www.homedepot.com/p/9-in-Deep-Well-Plastic-Paint-Roller-Tray-RM-405-SP/100142784
1,9 in. x 3/8 in. High-Density Polyester Knit Paint Roller Cover (3-Pack), $ 9.34, $ 9.34, https://www.homedepot.com/p/9-in-x-3-8-in-High-Density-Polyester-Knit-Paint-Roller-Cover-3-Pack-RS-1433/100090787
1,2 in. Shortcut Polyester Angle Sash Brush, $ 5.87, $ 5.87, https://www.homedepot.com/p/Wooster-2-in-Shortcut-Polyester-Angle-Sash-Brush-0Q32110020/100357411
6,1/2 4 ft. x 8 ft. Oriented Strand Board, $ 17.55, $ 105.30, https://www.homedepot.com/p/1-2-4-ft-x-8-ft-Oriented-Strand-Board-787792/100072564
3,Ultra Pure White Eggshell Behr Paint, $ 29.98, $ 89.94, https://www.homedepot.com/p/BEHR-Premium-Plus-1-gal-PPU18-06-Ultra-Pure-White-Eggshell-Enamel-Low-Odor-Interior-Paint-and-Primer-in-One-205001/300392551
4,ARDUINO MEGA 2560 REV3, $ 31.81, $ 127.24, https://www.amazon.com/ARDUINO-MEGA-2560-REV3-A000067/dp/B0046AMGW0?ref_=bl_dp_s_web_2582406011
1,SHARPIE MED WHT OB PAINT MARKER, $ 6.20, $ 6.20, https://www.amazon.com/Sanford-35558-Sharpie-Oil-Based-1-Count/dp/B001PLKRZQ/ref=pd_sbs_79_1/134-9040081-1883040?_encoding=UTF8&pd_rd_i=B001PLKRZQ&pd_rd_r=5bbd9aeb-6ba1-11e9-b421-cdcde3290510&pd_rd_w=CWmUu&pd_rd_wg=rQdH8&pf_rd_p=588939de-d3f8-42f1-a3d8-d556eae5797d&pf_rd_r=04AAT0BJ949ZARE1M8K5&psc=1&refRID=04AAT0BJ949ZARE1M8K5
2,MAIYUM 63-37 Tin Lead Rosin core solder wire for electrical soldering (0.8mm 50g), $ 6.88, $ 13.76, https://www.amazon.com/MAIYUM-63-37-solder-electrical-soldering/dp/B075WB98FJ/ref=sxin_2_ac_d_pm?keywords=solder&pd_rd_i=B075WB98FJ&pd_rd_r=95f8d010-5528-4e95-9ba3-8bcd7a53b373&pd_rd_w=ZrijN&pd_rd_wg=8pYFT&pf_rd_p=6034bbf7-e1cb-46a0-92a7-12ce26e57be9&pf_rd_r=3331HNJP7K6M89GM6J03&qid=1556659054&s=electronics
60,ALITOVE 16.4ft WS2812B Individually Addressable LED Strip Light 5050 RGB, $ 22.88, $ 1372.80, https://www.amazon.com/ALITOVE-WS2812B-Individually-Addressable-Waterproof/dp/B00ZHB9M6A/ref=sr_1_3?crid=3HY7XC3AT1P9A&keywords=led%2Bstrips%2Bindividually%2Baddressable&qid=1558981255&s=gateway&sprefix=led%2Bstrips%2Bindiv%2Caps%2C258&sr=8-3&th=1
6,ARDUINO UNO R3, $ 20.45, $ 122.70, https://www.amazon.com/Arduino-A000066-ARDUINO-UNO-R3/dp/B008GRTSV6?ref_=bl_dp_s_web_2582406011
