Space Room,,,,,,,
Contractor Construction,,,,,,,
,Demolition,,,,,,
,,Bathroom,,,,,
,,,Sink,,,,
,,,,2 x Man Hours,$25.00 ,,
,,,,TOTAL,$25.00 ,,
,,,Toilet,,,,
,,,,2 x Man Hours,$25.00 ,,
,,,,TOTAL,$25.00 ,,
,,,Walls,,,,
,,,,4 x Man Hours,$50.00 ,,
,,,,TOTAL,$50.00 ,,
,,,Plug Drains,,,,
,,,,3 in. Gripper Plastic Mechanical Test Plug,$5.57 ,,
,,,,1 x Man Hours,$12.50 ,,
,,,,TOTAL,$18.07 ,,
,,,TOTAL,$118.07 ,,,
,,Platform,,,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$25.00 ,,,
,,Remove Ceiling Tiles,,,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$12.50 ,,,
,,N95 Respirator Mask,$5.87 ,,,,
,,TOTAL,$161.44 ,,,,
,Teleport Door,,,,,,
,,Frame in Door,,,,,
,,,10 x Man Hours,$125.00 ,,,
,,,TOTAL,$125.00 ,,,
,,Electrical,,,,,
,,,4 x 4 Matrix Array 16,$8.99 ,,,
,,,SunFounder 2004 20x4 LCD Module,$20.99 ,,,
,,,Nilight Heavy Duty Rocker Toggle Switch,$9.36 ,,,
,,,ARDUINO UNO R3,$20.45 ,,,
,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,USB Wall Charger,$9.99 ,,,
,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,4 x Man Hours,$50.00 ,,,
,,,TOTAL,$142.27 ,,,
,,TOTAL,$267.27 ,,,,
,Drywall Over Brick and Pole,,,,,,
,,10 x Man Hours,$125.00 ,,,,
,,TOTAL,$125.00 ,,,,
,Paint Walls,,,,,,
,,5 x Pencil Sketch Flat Bher Paint,$139.90 ,,,,
,,9 in. x 3/8 in. High-Density Polyester Knit Paint Roller Cover (3-Pack),$9.34 ,,,,
,,2 x 9 in. Deep Well Plastic Paint Roller Tray,$6.96 ,,,,
,,2 in. Shortcut Polyester Angle Sash Brush,$5.87 ,,,,
,,8 x Man Hours,$100.00 ,,,,
,,TOTAL,$262.07 ,,,,
,Desk,,,,,,
,,Base,,,,,
,,,25 x 2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$68.50 ,,,
,,,8 x Man Hours,$100.00 ,,,
,,,TOTAL,$168.50 ,,,
,,Electrical,,,,,
,,,2 x 25 ft. 16/3 Light-Duty Indoor/Outdoor Extension Cord,$19.94 ,,,
,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$48.94 ,,,
,,Top,,,,,
,,,16 x 5.2mm - Sande Plywood,$366.72 ,,,
,,,5 x Man Hours,$62.50 ,,,
,,,TOTAL,$429.22 ,,,
,,Paint,,,,,
,,,2 x Ultra Pure White Eggshell Behr Paint,$59.96 ,,,
,,,5 x Man Hours,$62.50 ,,,
,,,TOTAL,$122.46 ,,,
,,TOTAL,$769.12 ,,,,
,Power Supply,,,,,,
,,1 gal. #ECC-10-2 Jet Black Flat Low Odor Interior Paint and Primer in One,$27.98 ,,,,
,,8 x 2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$14.56 ,,,,
,,48 in. x 96 in. x 1/8 in. Clear Acrylic Sheet,$118.00 ,,,,
,,6 x 1/2 4 ft. x 8 ft. Oriented Strand Board,$105.30 ,,,,
,,20 x 2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$54.80 ,,,,
,,5 x Man Hours,$62.50 ,,,,
,,TOTAL,$383.14 ,,,,
,Patch Holes,,,,,,
,,UltraLight 1/2 in. x 4 ft. x 8 ft. Gypsum Board,$12.33 ,,,,
,,4 x Man Hours,$50.00 ,,,,
,,TOTAL,$62.33 ,,,,
,TOTAL,"$2,030.37 ",,,,,
Building/Instilation,,,,,,,
,Floor,,,,,,
,,462 x Smooth Flex Tiles,"$1,704.78 ",,,,
,,6 x Man Hours,$75.00 ,,,,
,,TOTAL,"$1,779.78 ",,,,
,Circuit Scramble,,,,,,
,,Prototype,,,,,
,,,lychee EL Wire Neon Glowing Strobing Electroluminescent Light El Wire,$7.99 ,,,
,,,8 x Man Hours,$100.00 ,,,
,,,TOTAL,$107.99 ,,,
,,Frame,,,,,
,,,2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$1.82 ,,,
