Switch Board: Prototype, 03-Jun 08:00, 03-Jun 16:00
Infinity Mirrors: Frame, 03-Jun 08:00, 03-Jun 12:00
Infinity Mirrors: Electrical, 03-Jun 16:00, 04-Jun 10:00
Infinity Mirrors: Paint, 04-Jun 10:00, 04-Jun 12:00
Infinity Mirrors: Grate, 04-Jun 12:00, 04-Jun 14:00
Switch Board: Frame, 05-Jun 10:00, 05-Jun 14:00
Switch Board: Electrical, 05-Jun 14:00, 05-Jun 17:00
Conclusion: Captian Station, 06-Jun 10:00, 06-Jun 13:00
Infinity Mirrors: Step Indicator, 06-Jun 14:00, 06-Jun 16:00
Switch Board: Code, 07-Jun 10:00, 07-Jun 12:00
Hologram: Controller, 07-Jun 11:00, 11-Jun 10:00
Constilation Viewer: Lights, 18-Jun 15:00, 19-Jun 12:00
Conclusion: Engineer, 19-Jun 12:00, 19-Jun 15:00
Switch Board: Install, 20-Jun 09:00, 20-Jun 11:00
Conclusion: Left Station, 20-Jun 15:00, 21-Jun 10:00
Conclusion: Right Station, 20-Jun 15:00, 21-Jun 10:00
Conclusion: Code, 21-Jun 10:00, 24-Jun 12:00
Hologram: Frame, 25-Jun 15:00, 26-Jun 13:00
Hologram: Paint, 26-Jun 13:00, 26-Jun 15:00
Game Master's Computer: Code, 28-Jun 10:00, 03-Jul 16:00
Logistical Tasks: Train Employees, 18-Jul 12:00, 01-Aug 12:00
Task Count,21
