Crackle Tube: Power Suply, 03-Jun 08:00, 03-Jun 09:00
Crackle Tube: Electrical, 03-Jun 09:00, 03-Jun 12:00
Circuit Scramble: Prototype, 03-Jun 10:00, 04-Jun 10:00
Hologram: Timer, 04-Jun 09:00, 05-Jun 11:00
Captian's Computer: Stand, 04-Jun 11:00, 04-Jun 13:00
Captian's Computer: Projected Keyboard, 04-Jun 14:00, 04-Jun 17:00
Captian's Computer: Install, 05-Jun 10:00, 05-Jun 11:00
Circuit Scramble: Code, 05-Jun 13:00, 05-Jun 15:00
Circuit Scramble: Frame, 06-Jun 10:00, 06-Jun 14:00
Window: Animation, 06-Jun 12:00, 07-Jun 14:00
Circuit Scramble: Electrical, 06-Jun 14:00, 06-Jun 14:00
Captian's Computer: Code Computer, 11-Jun 10:00, 13-Jun 14:00
Circuit Scramble: Install, 20-Jun 11:00, 20-Jun 13:00
NASA Printer: Frame, 21-Jun 15:00, 24-Jun 10:00
Lighting: Electrical, 24-Jun 10:00, 24-Jun 13:00
NASA Printer: Electrical, 24-Jun 10:00, 24-Jun 11:00
Lighting: Paint, 24-Jun 13:00, 24-Jun 16:00
Lighting: Code, 25-Jun 10:00, 25-Jun 16:00
Building/Instilation: Lasers, 26-Jun 13:00, 26-Jun 13:00
NASA Printer: Code, 26-Jun 13:00, 28-Jun 17:00
Main Power Controller: Electrical, 26-Jun 16:00, 28-Jun 10:00
Main Power Controller: Code, 26-Jun 16:00, 28-Jun 10:00
Logistical Tasks: Flow Chart, 11-Jul 12:00, 11-Jul 14:00
Task Count,23
